val_triplet_acc,val_loss,epoch,step,loss,triplet_acc
,,40,30299,0.5715523362159729,0.7734808921813965
0.722267210483551,0.5926318168640137,41,31037,,
,,41,31038,0.5684624910354614,0.7792143821716309
0.7216346263885498,0.5908819437026978,42,31776,,
,,42,31777,0.5610261559486389,0.7857484221458435
0.7249240875244141,0.5958192348480225,43,32515,,
,,43,32516,0.5588382482528687,0.7898758053779602
0.7285425066947937,0.5815049409866333,44,33254,,
,,44,33255,0.5552849769592285,0.7940453886985779
0.7232161164283752,0.5970963835716248,45,33993,,
,,45,33994,0.5516420602798462,0.7965439558029175
0.7182186245918274,0.603438138961792,46,34732,,
,,46,34733,0.5484466552734375,0.7987180948257446
0.7346027493476868,0.5723632574081421,47,35471,,
,,47,35472,0.5432359576225281,0.8011196851730347
0.7366270422935486,0.5701956748962402,48,36210,,
,,48,36211,0.53960782289505,0.8037371635437012
0.7285298705101013,0.5885398387908936,49,36949,,
,,49,36950,0.5374548435211182,0.8059229850769043
0.7263157963752747,0.5838887095451355,50,37688,,
,,50,37689,0.5332368016242981,0.8109893202781677
0.741877555847168,0.5667805075645447,51,38427,,
,,51,38428,0.5289520621299744,0.8123425245285034
0.7311360836029053,0.5761436223983765,52,39166,,
,,52,39167,0.5279737710952759,0.8163685202598572
0.7431427240371704,0.568505585193634,53,39905,,
,,53,39906,0.5238388180732727,0.81578528881073
0.7410551905632019,0.5651864409446716,54,40644,,
,,54,40645,0.5185917615890503,0.8191550374031067
0.7379555106163025,0.5672606825828552,55,41383,,
,,55,41384,0.5171261429786682,0.8213546872138977
0.744850754737854,0.5615542531013489,56,42122,,
,,56,42123,0.5148292183876038,0.8218315243721008
0.746874988079071,0.5584306716918945,57,42861,,
,,57,42862,0.512846052646637,0.822161853313446
0.7458628416061401,0.5578557252883911,58,43600,,
,,58,43601,0.5087827444076538,0.8274943232536316
0.7328441143035889,0.5794470906257629,59,44339,,
,,59,44340,0.5063619613647461,0.8280397057533264
0.7438386082649231,0.5587977766990662,60,45078,,
,,60,45079,0.5025486946105957,0.8298624157905579
0.7439650893211365,0.5585512518882751,61,45817,,
,,61,45818,0.5017247796058655,0.8313635587692261
0.7444964647293091,0.5590701699256897,62,46556,,
,,62,46557,0.4975879490375519,0.8342646360397339
0.7537702322006226,0.5497269034385681,63,47295,,
,,63,47296,0.49422216415405273,0.8347421884536743
